lon_mean,lon_up,lon_mid,lon_low,lon_std,lat_mean,lat_up,lat_mid,lat_low,lat_std,speed_mean,speed_up,speed_mid,speed_low,speed_std,course_mean,course_up,course_mid,course_low,course_std,fishing_time,distance,MMSI,LENGTH,TONNAGE
-63.908747,-63.908747,-63.908747,-63.908747,,10.855167,10.855167,10.855167,10.855167,,6.5,6.5,6.5,6.5,,87.3,87.3,87.3,87.3,,0.0,0.0,775992461,23.3,128.0
-61.4068905,-61.38764175,-61.4068905,-61.42613925,0.0544436866174633,10.966969,10.968091,10.966969,10.965847,0.0031734952339647,6.050000000000001,6.125,6.050000000000001,5.9750000000000005,0.2121320343559638,93.0,95.6,93.0,90.4,7.353910524340098,2760.0,2.5431232683740856,775992461,23.3,128.0
-64.20419123076923,-64.193072,-64.193073,-64.19309525,0.0262548774932405,10.472023153846154,10.46407425,10.464058,10.4640485,0.019111537187139,1.3846153846153846,0.2,0.1,0.0,2.751972719006104,186.1346153846154,311.7,127.3,127.3,85.58125936118344,3000.0,3.0410621735822376,775992461,23.3,128.0
-60.997802500000006,-60.90059025,-60.997802500000006,-61.09501475,0.2749577647576106,10.967752,10.9745195,10.967752,10.9609845,0.0191413805667205,5.9,6.1,5.9,5.7,0.5656854249492382,86.9,88.6,86.9,85.2,4.808326112068526,15056.0,3.4348798828730764,775992461,23.3,128.0
-59.002128,-59.002128,-59.002128,-59.002128,,10.764333,10.764333,10.764333,10.764333,,5.1,5.1,5.1,5.1,,94.0,94.0,94.0,94.0,,0.0,1.811230933910972,775992461,23.3,128.0
-57.0421865,-57.02932975,-57.0421865,-57.05504325,0.0363643804360833,10.642405,10.6427575,10.642405,10.6420525,0.0009970205614729,5.550000000000001,5.7250000000000005,5.550000000000001,5.375,0.494974746830583,83.95,84.475,83.95,83.42500000000001,1.4849242404917458,1920.0,1.9895579862370107,775992461,23.3,128.0
-48.504381,-48.424599,-48.504381,-48.584163,0.2256575728665024,8.3781985,8.38439425,8.3781985,8.37200275,0.0175242273581457,0.5,0.5,0.5,0.5,0.0,179.05,217.075,179.05,141.025,107.55094141847388,,9.285786084036172,775992461,23.3,128.0
-48.415703,-48.415703,-48.415703,-48.415703,,8.348587,8.348587,8.348587,8.348587,,5.6,5.6,5.6,5.6,,104.7,104.7,104.7,104.7,,0.0,0.2517704163975561,775992461,23.3,128.0
-48.976387,-48.976387,-48.976387,-48.976387,,8.111775,8.111775,8.111775,8.111775,,1.5,1.5,1.5,1.5,,128.1,128.1,128.1,128.1,,,0.6086431394503699,775992461,23.3,128.0
-48.547244,-48.5471445,-48.547244,-48.5473435,0.0002814284989151,7.816631,7.8239065,7.816631,7.809355500000001,0.0205782215460908,3.2,3.35,3.2,3.05,0.4242640687119287,183.05,270.625,183.05,95.475,247.6995054496476,,0.5581642153750656,775992461,23.3,128.0
-48.7112345,-48.69102075000001,-48.7112345,-48.73144825,0.057173118792838,7.8234265,7.88377975,7.8234265,7.76307325,0.1707047693665877,5.75,5.875,5.75,5.625,0.3535533905932738,187.75,250.475,187.75,125.025,177.41309139970477,19624.0,0.4329736002935345,775992461,23.3,128.0
-55.211065,-55.211065,-55.211065,-55.211065,,9.738933,9.738933,9.738933,9.738933,,6.0,6.0,6.0,6.0,,278.8,278.8,278.8,278.8,,0.0,6.704117701562893,775992461,23.3,128.0
-58.190247,-58.182047,-58.190247,-58.198447,0.0231931024229149,10.338965,10.3403985,10.338965,10.3375315,0.0040545502833239,7.25,7.275,7.25,7.225,0.0707106781186545,281.4,281.8,281.4,281.0,1.1313708498984318,942.0,3.0556612745274,775992461,23.3,128.0
